trade_date,date,ts_code,qfq_open,qfq_high,qfq_low,qfq_close,tr,n_20,n_for_signal,entry_high_20,exit_low_10,breakout_long,exit_long,stop_long,stop_price,target_units,position_units,shares,cash,trade_action,trade_reason,signal_date,execution_date,execution_price,trade_value,fee,slippage_cost,portfolio_value,strategy_return,benchmark_value,benchmark_return,drawdown,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_pre_close,qfq_change,qfq_pct_chg,instrument_key,market,currency,signal,running_max
20250630,2025-06-30,300308.SZ,141.1872,146.2759,137.7049,145.5375,8.570999999999998,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,141.5,146.6,138.01,145.86,138.4,7.46,5.3902,752143.93,10740859.553,6.5893,138.094,7.4435,5.3902,zhongji_xuchuang,A-share,CNY,0,100000.0
20250701,2025-07-01,300308.SZ,143.2725,146.4555,142.4344,144.9788,4.02109999999999,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,143.59,146.78,142.75,145.3,145.86,-0.56,-0.3839,319591.41,4641124.102,6.5893,145.5375,-0.5587,-0.3839,zhongji_xuchuang,A-share,CNY,0,100000.0
20250702,2025-07-02,300308.SZ,142.185,142.2847,137.8246,138.6229,7.154200000000003,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,142.5,142.6,138.13,138.93,145.3,-6.37,-4.384,365770.96,5109386.35,6.5893,144.9788,-6.3559,-4.384,zhongji_xuchuang,A-share,CNY,0,100000.0
20250703,2025-07-03,300308.SZ,141.1572,143.522,139.1816,141.9455,4.899100000000004,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,141.47,143.84,139.49,142.26,138.93,3.33,2.3969,383978.75,5430809.335,6.5893,138.6229,3.3226,2.3969,zhongji_xuchuang,A-share,CNY,0,100000.0
20250704,2025-07-04,300308.SZ,142.7936,144.859,138.2437,139.1417,6.615300000000019,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,143.11,145.18,138.55,139.45,142.26,-2.81,-1.9753,418744.79,5927014.308,6.5893,141.9455,-2.8038,-1.9753,zhongji_xuchuang,A-share,CNY,0,100000.0
20250707,2025-07-07,300308.SZ,137.196,139.461,129.9221,134.8512,9.538900000000012,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,137.5,139.77,130.21,135.15,139.45,-4.3,-3.0835,575204.24,7722491.415,6.5893,139.1417,-4.2905,-3.0835,zhongji_xuchuang,A-share,CNY,0,100000.0
20250708,2025-07-08,300308.SZ,134.4621,144.9389,133.5241,144.5597,11.414799999999985,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,134.76,145.26,133.82,144.88,135.15,9.73,7.1994,532241.12,7500377.252,6.5893,134.8512,9.7085,7.1994,zhongji_xuchuang,A-share,CNY,0,100000.0
20250709,2025-07-09,300308.SZ,144.6794,149.0298,143.7315,144.9788,5.298299999999983,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,145.0,149.36,144.05,145.3,144.88,0.42,0.2899,415095.61,6085220.987,6.5893,144.5597,0.4191,0.2899,zhongji_xuchuang,A-share,CNY,0,100000.0
20250710,2025-07-10,300308.SZ,146.1961,148.3513,141.6861,146.2659,6.665199999999999,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,146.52,148.68,142.0,146.59,145.3,1.29,0.8878,435403.97,6336658.699,6.5893,144.9788,1.2871,0.8878,zhongji_xuchuang,A-share,CNY,0,100000.0
20250711,2025-07-11,300308.SZ,144.42,147.5531,142.2348,144.9588,5.318299999999994,,,,,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,144.74,147.88,142.55,145.28,146.59,-1.31,-0.8936,310988.62,4513795.973,6.5893,146.2659,-1.3071,-0.8936,zhongji_xuchuang,A-share,CNY,0,100000.0
20250714,2025-07-14,300308.SZ,144.0109,150.1673,144.0109,149.4888,6.156400000000019,,,,129.9221,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,144.33,150.5,144.33,149.82,145.28,4.54,3.125,388531.91,5781039.353,6.5893,144.9588,4.53,3.125,zhongji_xuchuang,A-share,CNY,0,100000.0
20250715,2025-07-15,300308.SZ,154.9567,174.6031,154.9567,174.4235,25.114300000000014,,,,129.9221,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,155.3,174.99,155.3,174.81,149.82,24.99,16.68,924064.24,15619206.714,6.5893,149.4888,24.9347,16.68,zhongji_xuchuang,A-share,CNY,0,100000.0
20250716,2025-07-16,300308.SZ,179.4025,181.5677,169.2949,170.3825,12.27279999999999,,,,129.9221,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,179.8,181.97,169.67,170.76,174.81,-4.05,-2.3168,905851.77,15982905.351,6.5893,174.4235,-4.041,-2.3168,zhongji_xuchuang,A-share,CNY,0,100000.0
20250717,2025-07-17,300308.SZ,168.816,178.5943,168.796,176.459,9.798300000000012,,,,129.9221,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,169.19,178.99,169.17,176.85,170.76,6.09,3.5664,604630.77,10555310.877,6.5893,170.3825,6.0765,3.5664,zhongji_xuchuang,A-share,CNY,0,100000.0
20250718,2025-07-18,300308.SZ,180.7794,191.5855,178.6043,180.2207,15.126499999999993,,,,129.9221,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,181.18,192.01,179.0,180.62,176.85,3.77,2.1318,611562.21,11298766.458,6.5893,176.459,3.7617,2.1318,zhongji_xuchuang,A-share,CNY,0,100000.0
20250721,2025-07-21,300308.SZ,179.4923,187.9835,176.7883,187.5345,11.1952,,,,129.9221,False,False,False,,0,0,0.0,100000.0,HOLD,,,,,0.0,0.0,0.0,100000.0,0.0,,0.0,0.0,179.89,188.4,177.18,187.95,180.62,7.33,4.0582,596835.09,10909835.929,6.5893,180.2207,7.3138,4.0582,zhongji_xuchuang,A-share,CNY,0,100000.0
